n	A3	B3	B4	c4
2	2.659		3.267	0.7979
3	1.954		2.568	0.8862
4	1.628		2.266	0.9213
5	1.427		2.089	0.94
6	1.287	0.03	1.97	0.9515
7	1.182	0.118	1.882	0.9594
8	1.099	0.185	1.815	0.965
9	1.032	0.239	1.761	0.9693
10	0.975	0.284	1.716	0.9727
11	0.927	0.321	1.679	0.9754
12	0.886	0.354	1.646	0.9776
13	0.85	0.382	1.618	0.9794
14	0.817	0.406	1.594	0.981
15	0.789	0.428	1.572	0.9823
16	0.763	0.448	1.552	0.9835
17	0.739	0.466	1.534	0.9845
18	0.718	0.482	1.518	0.9854
19	0.698	0.497	1.503	0.9862
20	0.68	0.51	1.49	0.9869
21	0.663	0.523	1.477	0.9876
22	0.647	0.534	1.466	0.9882
23	0.633	0.545	1.455	0.9887
24	0.619	0.555	1.445	0.9892
25	0.606	0.565	1.435	0.9896
